component_id	longitude	latitude
0	142911.056616	219802.943619
1	145504.710948	219024.528143
2	143520.603895	218481.032576
3	143612.474996	220722.366167
4	140731.729884	218615.887521
5	144652.525970	218065.266240
6	144295.225816	219837.246485
7	142253.234444	220311.143107
8	142858.990357	221353.614816
9	141803.947827	219841.636954
10	143684.533202	219228.719984
11	144272.105149	218736.510382
12	141292.668940	219300.760889
13	143131.632362	218808.696370
14	144045.233583	220365.337798
15	143693.392255	220033.715275
16	144703.528391	219831.732998
17	142466.367632	220583.923235
18	143210.856520	221094.748469
19	143235.007678	219569.072960
20	144458.215087	220028.088665
21	141283.371985	220162.702632
22	145046.169044	218490.710779
23	144392.223921	217819.188218
24	142577.728310	221618.426822
25	141583.733704	219616.059809
26	145352.378374	219299.465112
27	144054.347761	218902.129222
28	140812.001161	218804.828135
29	144001.672617	218110.060524
30	144512.242955	218533.100336
31	143836.792386	220577.604891
32	143841.630569	219078.304414
33	140982.203429	218979.444340
34	145016.260032	219569.475097
35	143353.057542	218607.697700
36	144775.906397	218295.764386
37	141551.871778	219947.262829
38	145734.588673	219183.546401
39	143622.241536	219907.422268
40	143576.254097	220146.654464
41	144209.772503	220176.972133
42	143537.796063	219333.946453
43	142084.716710	220146.388851
44	142582.314325	220061.114313
45	143649.991349	220386.930137
46	142847.900095	220990.826025
47	143426.520566	220920.607037
48	143056.764845	221204.157226
49	142685.784872	221498.706155
