component_id	longitude	latitude	var_longitude	var_latitude
0	142911.056616	219802.943619	13058.741027	5983.216353
1	145504.710948	219024.528143	6513.885954	5955.991783
2	143520.603895	218481.032576	23575.247282	17072.409698
3	143612.474996	220722.366167	6754.113240	4806.461433
4	140731.729884	218615.887521	9207.172760	1859.511032
5	144652.525970	218065.266240	19729.026175	25334.857902
6	144295.225816	219837.246485	9017.909952	2787.742330
7	142253.234444	220311.143107	1264.619677	237.841800
8	142858.990357	221353.614816	8708.759920	7054.662380
9	141803.947827	219841.636954	5979.327572	4266.652979
10	143684.533202	219228.719984	1017.451277	1512.536340
11	144272.105149	218736.510382	2859.689424	1974.451267
12	141292.668940	219300.760889	14428.863502	22665.248783
13	143131.632362	218808.696370	6203.836437	4102.222759
14	144045.233583	220365.337798	3724.843523	2362.377716
15	143693.392255	220033.715275	837.817505	287.818296
16	144703.528391	219831.732998	10917.282667	9179.890739
17	142466.367632	220583.923235	35329.134481	50772.629964
18	143210.856520	221094.748469	4486.909514	2358.334828 
19	143235.007678	219569.072960	12349.236505	3766.761750
20	144458.215087	220028.088665	16473.685134	24851.855583
21	141283.371985	220162.702632	1890.207781	695.182352
22	145046.169044	218490.710779	18963.868402	19445.826555
23	144392.223921	217819.188218	857.740195	1326.094267
24	142577.728310	221618.426822	227.349760	157.485580
25	141583.733704	219616.059809	10902.514212	10860.544841
26	145352.378374	219299.465112	20062.979223	9986.149728
27	144054.347761	218902.129222	5300.972686	4517.528808
28	140812.001161	218804.828135	8306.496191	3832.644319
29	144001.672617	218110.060524	22957.996918	14227.164025
30	144512.242955	218533.100336	9761.315114	7696.089916
31	143836.792386	220577.604891	8647.789561	6295.705285
32	143841.630569	219078.304414	4163.297844	2355.571396
33	140982.203429	218979.444340	9358.531694	12123.614161
34	145016.260032	219569.475097	2874.809707	1080.769407
35	143353.057542	218607.697700	4248.585431	3373.790987
36	144775.906397	218295.764386	1178.737158	1926.404750
37	141551.871778	219947.262829	13679.930133	8042.187060
38	145734.588673	219183.546401	4341.201476	4028.533193
39	143622.241536	219907.422268	40260.227763	49737.832469
40	143576.254097	220146.654464	2502.798991	2644.047415
41	144209.772503	220176.972133	1659.031694	9160.871838
42	143537.796063	219333.946453	2508.549711	2358.083015
43	142084.716710	220146.388851	4552.183430	6531.598406
44	142582.314325	220061.114313	27585.510159	16986.559417
45	143649.991349	220386.930137	8040.799341	9065.485838
46	142847.900095	220990.826025	15900.469776	14798.839115
47	143426.520566	220920.607037	10943.661983	7945.256304
48	143056.764845	221204.157226	1370.367138	454.620960
49	142685.784872	221498.706155	4970.824575	2785.802423
