cluster_id	longitude	latitude
0	142791.519608	219894.950980
1	144620.177215	219845.259494
2	144279.587097	217954.203226
3	140957.749186	218933.788274
4	143363.201863	220966.108696
5	144075.924779	218890.287611
6	141575.163677	219770.885650
7	142238.808000	220286.898667
8	145503.658960	219098.523121
9	143856.440901	220497.270169
10	142909.737662	221293.714286
11	143402.670520	218580.621387
12	144721.144124	218395.762749
13	143448.147287	219445.891473
14	145055.200000	219535.175000
15	143628.020339	220092.816949
16	142623.252747	220766.494505
17	144245.055385	220140.520000
