cluster_id	longitude	latitude	var_longitude	var_latitude
0	142920.080808	219791.939394	7257.771248	4313.006428
1	145494.630872	219015.731544	5267.199315	4804.760146
2	143614.528926	218403.768595	6777.389659	4895.334881
3	143632.683673	220720.704082	3552.983600	3417.093100
4	140731.942308	218616.153846	9219.323595	1842.937870
5	144647.168831	218050.025974	3035.594873	5424.518806
6	144268.620000	219856.810000	8390.015600	4547.093900
7	142277.108949	220325.284047	3435.178792	3539.425154
8	142861.931818	221347.295455	2162.927169	1822.071798
9	141756.518519	219830.277778	6306.558299	3723.324074
10	143681.536082	219225.092784	1464.846636	1988.785206
11	144288.879518	218720.632530	4077.961388	2173.690267
12	141343.824742	219362.896907	4787.484749	6356.339887
13	143131.280000	218809.020000	5366.601600	3559.039600
14	144021.118110	220369.263780	5286.637742	4512.466882
15	143693.781250	220021.593750	2572.186523	3248.616211
16	144739.034247	219805.253425	4829.663211	4789.887831
17	142502.026087	220631.382609	5881.260189	6878.636219
18	143232.809524	221078.632653	4490.113379	2363.361655
19	143246.720497	219578.043478	6632.462251	2238.091277
20	144555.379518	219919.030120	4806.259580	6592.667767
21	141292.357143	220154.952381	2363.086735	1119.473923
22	145093.696970	218540.111111	8930.089991	8586.906846
23	144409.878049	217841.384146	4001.704640	2404.882919
24	142591.456522	221593.130435	1414.639414	1211.243856
25	141567.443478	219604.991304	3722.072892	3888.530359
26	145346.217391	219306.156522	7067.335350	5452.375501
27	144059.384106	218900.596026	3397.229946	2368.227534
28	140857.250000	218846.091667	6867.137500	4459.683264
29	143983.341667	218122.633333	10719.641597	6173.748889
30	144530.704545	218516.306818	4816.685434	3730.428590
31	143826.090000	220584.375000	4275.958977	2639.738584
32	143854.521739	219070.311594	3153.090107	2091.678271
33	141081.193878	219077.663265	4256.788942	4671.345793
34	145016.297468	219560.177215	4379.803918	3071.804038
35	143386.136752	218590.299145	3467.639419	2592.688290
36	144796.158940	218276.807947	3457.670102	3594.963116
37	141488.954545	219993.181818	4329.588843	2716.573003
38	145685.404255	219184.957447	8976.113173	2937.296062
39	143530.261538	219793.630769	3513.731598	4931.555976
40	143552.764706	220200.361345	1170.516065	4137.978674
41	144261.162304	220187.298429	6572.397741	5734.188427
42	143514.504854	219358.398058	3366.754831	3752.550287
43	142072.439560	220127.032967	3383.213380	4805.921990
44	142632.330097	220019.932039	6256.026958	4072.393440
45	143670.795181	220408.313253	1762.235157	1823.805487
46	142737.807692	220894.971154	5480.039941	6172.508783
47	143440.175182	220903.729927	5647.706537	4405.073046
48	143042.165138	221187.325688	3216.770895	2303.201267
49	142725.290323	221470.080645	2470.044745	1547.235432
